timestamp,symbol,market,side,entry,stop,target,shares,capital,status,exit_price,pnl,signal_score,style,target1,target2,score,reason
2026-05-05 00:05:55.857007,AAPL,STOCK,BUY,274.7767,240.786,,5,1373.88,CLOSED,274.7767,0.0,,DAY TRADE,325.7627,359.7535,8.0,RSI at 65.7 -- neutral | MACD bullish crossover (4.519 > 3.670) | MACD histogram positive (0.849) -- momentum building
2026-05-05 00:05:55.862526,AMD,STOCK,BUY,335.8702,211.0724,,1,335.87,CLOSED,335.8702,0.0,,DAY TRADE,523.0669,647.8647,8.0,RSI at 73.9 -- OVERBOUGHT | MACD bullish crossover (33.659 > 28.851) | MACD histogram positive (4.808) -- momentum building
2026-05-05 00:29:25.553163,ADA/USDT,CRYPTO,BUY,0.2508,0.2335,,11560,2899.25,CLOSED,0.2508,0.0,,DAY TRADE,0.2768,0.2941,7.0,RSI at 56.7 -- neutral | MACD bullish crossover (-0.000 > -0.001) | MACD histogram positive (0.001) -- momentum building
2026-05-05 00:29:25.557675,TSLA,STOCK,BUY,388.028,330.4952,,3,1164.08,CLOSED,388.028,0.0,,DAY TRADE,474.3272,531.86,7.0,RSI at 63.9 -- neutral | MACD bullish crossover (2.233 > 0.217) | MACD histogram positive (2.015) -- momentum building
2026-05-05 00:29:25.562660,PLTR,STOCK,BUY,144.2583,120.2264,,8,1154.07,CLOSED,144.2583,0.0,,DAY TRADE,180.3061,204.338,7.0,RSI at 61.8 -- neutral | MACD bullish crossover (-0.557 > -0.868) | MACD histogram positive (0.311) -- momentum building
2026-05-05 00:29:25.566218,CRM,STOCK,BUY,183.1949,160.2496,,8,1465.56,CLOSED,183.1949,0.0,,DAY TRADE,217.6128,240.5582,7.0,RSI at 62.5 -- neutral | MACD bullish crossover (-0.665 > -1.505) | MACD histogram positive (0.840) -- momentum building
2026-05-05 10:35:02.461806,ORCL,STOCK,BUY,181.0169,131.8786,,4,724.07,CLOSED,181.0169,0.0,,SCALP,254.7243,303.8626,9.0,RSI 59.6 neutral | MACD bullish crossover (6.056 > 5.678) | MACD histogram positive (0.378)
2026-05-05 10:35:02.476996,AMZN,STOCK,BUY,272.2884,215.2276,,3,816.87,CLOSED,272.2884,0.0,,DAY TRADE,357.8796,414.9404,7.0,RSI 82.8 OVERBOUGHT | MACD bullish crossover (13.048 > 11.987) | MACD histogram positive (1.062)
2026-05-05 10:48:52.557219,DOT/USDT,CRYPTO,BUY,1.2433,1.1476,,53,65.89,CLOSED,1.2433,0.0,,DAY TRADE,1.3869,1.4826,8.0,"RSI 45.2 healthy, not overbought | MACD bullish crossover (-0.018 > -0.021) | MACD histogram positive (0.004)"
